region,country,item_type,sales_channel,order_priority,order_date,order_id,ship_date,units_sold,unit_price,unit_cost,total_revenue,total_cost,total_profit
Sub-Saharan Africa,Sierra Leone,Vegetables,Offline,C,2016-05-26,SYN002576,2016-06-24,1563,156.66,88.78,244859.58,129429.84,87622.81
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,C,2012-06-14,SYN002577,2012-06-30,3181,104.12,34.61,331205.72000000003,125307.17,241258.15
Sub-Saharan Africa,Cameroon,Office Supplies,Online,M,2011-11-06,SYN002578,2011-11-12,5354,663.99,484.92,3555002.46,2677097.28,653478.96
Asia,Laos,Vegetables,Offline,C,2011-09-20,SYN002579,2011-10-19,3678,137.15,103.71,504437.7,342638.39,248183.7
Asia,Turkmenistan,Office Supplies,Online,M,2013-04-16,SYN002580,2013-05-21,5303,662.01,491.98,3510639.03,2391886.7,622649.64
Europe,Slovenia,Beverages,Offline,C,2016-10-26,SYN002581,2016-11-24,4298,52.69,30.97,226461.62,142290.79,73814.67
Australia and Oceania,East Timor,Meat,Online,L,2012-08-04,SYN002582,2012-09-11,5671,433.76,349.54,2459852.96,2237750.1,366312.89
Central America and the Caribbean,Nicaragua,Beverages,Offline,C,2011-02-10,SYN002583,2011-03-26,8382,45.82,28.03,384063.24,242735.94,111508.52
Sub-Saharan Africa,Cameroon,Beverages,Offline,C,2015-03-25,SYN002584,2015-04-25,5563,47.7,32.6,265355.10000000003,179135.06,85576.36
Europe,Bulgaria,Office Supplies,Online,M,2012-02-15,SYN002585,2012-03-01,4233,628.85,502.94,2661922.0500000003,2006156.7,519895.4
Europe,San Marino,Baby Food,Online,L,2013-06-29,SYN002586,2013-07-01,4294,256.65,167.32,1102055.0999999999,806305.0,472440.0
Australia and Oceania,Federated States of Micronesia,Beverages,Online,C,2014-11-01,SYN002587,2014-11-20,8840,48.96,31.82,432806.4,277238.53,142488.8
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,M,2011-11-24,SYN002588,2012-01-12,3433,651.12,493.26,2235294.96,1800634.49,464643.29
Middle East and North Africa,Lebanon,Clothes,Online,L,2012-09-24,SYN002589,2012-10-09,7658,109.04,39.9,835028.3200000001,285084.54,565726.72
Sub-Saharan Africa,The Gambia,Household,Offline,L,2012-06-01,SYN002590,2012-06-03,2315,761.3,481.03,1762409.5,1221543.43,359691.47
Asia,Brunei,Office Supplies,Online,L,2012-04-07,SYN002591,2012-05-09,6852,672.89,497.76,4610642.28,3560466.49,868279.0
Central America and the Caribbean,Haiti,Cosmetics,Offline,H,2013-10-09,SYN002592,2013-11-14,1695,453.08,279.4,767970.6,472905.1,300862.1
Middle East and North Africa,Azerbaijan,Office Supplies,Online,M,2012-06-10,SYN002593,2012-07-20,1943,634.41,531.69,1232658.63,1105670.28,250013.67
Sub-Saharan Africa,Rwanda,Cosmetics,Offline,H,2013-10-10,SYN002594,2013-11-22,4441,466.36,244.1,2071104.76,1170243.57,822341.19
Sub-Saharan Africa,The Gambia,Meat,Online,M,2017-01-19,SYN002595,2017-01-22,5074,417.12,353.2,2116466.88,1806773.45,268752.84
Middle East and North Africa,Azerbaijan,Cosmetics,Online,M,2010-02-10,SYN002596,2010-02-23,6666,447.48,281.06,2982901.68,1936287.62,1236409.56
Australia and Oceania,Kiribati,Fruits,Online,M,2014-10-19,SYN002597,2014-11-04,5173,9.38,6.59,48522.740000000005,36096.54,13385.17
Asia,Brunei,Office Supplies,Online,L,2012-03-29,SYN002598,2012-05-04,6695,620.66,534.95,4155318.6999999997,3560356.6,871087.0
Central America and the Caribbean,Honduras,Household,Offline,H,2017-02-04,SYN002599,2017-02-12,9637,667.06,477.7,6428457.22,4817854.09,1461442.05
Europe,Lithuania,Office Supplies,Offline,H,2010-10-19,SYN002600,2010-11-15,7457,658.38,520.45,4909539.66,4653128.82,1141498.32
Sub-Saharan Africa,Mali,Fruits,Online,L,2010-05-06,SYN002601,2010-05-15,5864,9.1,7.31,53362.4,43226.19,15789.53
Sub-Saharan Africa,Djibouti,Cosmetics,Offline,H,2014-04-13,SYN002602,2014-04-25,7121,424.9,289.01,3025712.9,1946765.13,1294415.82
Sub-Saharan Africa,South Sudan,Personal Care,Offline,C,2013-12-26,SYN002603,2014-01-29,2222,86.09,52.5,191291.98,120916.73,53651.57
Europe,Iceland,Cosmetics,Online,C,2016-12-30,SYN002604,2017-01-06,8870,452.95,278.82,4017666.5,2568339.47,1620155.82
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,M,2015-07-16,SYN002605,2015-08-25,5684,81.14,61.67,461199.76,352408.42,144552.5
Australia and Oceania,Fiji,Clothes,Offline,C,2010-07-03,SYN002606,2010-07-26,9998,113.65,34.72,1136272.7,341878.93,755615.97
Europe,Portugal,Baby Food,Online,H,2015-08-03,SYN002607,2015-08-28,1305,258.23,148.26,336990.15,206915.05,112074.79
Central America and the Caribbean,Belize,Clothes,Offline,M,2016-07-30,SYN002608,2016-09-04,5299,114.3,34.93,605675.7,200837.94,388411.89
Asia,Myanmar,Household,Offline,H,2015-01-09,SYN002609,2015-02-28,8685,672.41,487.4,5839880.85,4271249.0,1360414.74
Europe,Albania,Clothes,Online,C,2010-01-29,SYN002610,2010-03-11,2207,101.35,36.34,223679.44999999998,81422.42,188346.03
Asia,Laos,Vegetables,Offline,C,2011-09-10,SYN002611,2011-10-28,3829,154.18,102.95,590355.22,344997.0,243368.84
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,2012-07-16,SYN002612,2012-07-26,7480,158.94,83.48,1188871.2,773232.31,542154.13
Sub-Saharan Africa,The Gambia,Cereal,Offline,H,2012-06-14,SYN002613,2012-06-07,2099,211.38,116.44,443686.62,259501.93,190389.73
Middle East and North Africa,Azerbaijan,Office Supplies,Online,M,2012-06-12,SYN002614,2012-07-17,2109,696.25,546.72,1468391.25,1092276.84,245066.21
Sub-Saharan Africa,Djibouti,Snacks,Online,M,2017-03-04,SYN002615,2017-02-25,7461,169.07,101.66,1261431.27,720383.28,418021.09
Sub-Saharan Africa,Kenya,Vegetables,Online,L,2012-03-20,SYN002616,2012-04-09,6375,155.12,84.34,988890.0,586825.89,382522.61
Central America and the Caribbean,Grenada,Cereal,Online,C,2012-08-29,SYN002617,2012-09-09,2753,196.75,112.86,541652.75,339002.53,249569.71
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,L,2013-01-27,SYN002618,2013-02-08,4577,646.94,548.39,2961044.3800000004,2565122.28,610954.71
Middle East and North Africa,Libya,Fruits,Online,L,2015-08-10,SYN002619,2015-09-25,661,9.81,6.22,6484.410000000001,4495.46,1659.35
Middle East and North Africa,Azerbaijan,Office Supplies,Online,M,2012-06-11,SYN002620,2012-07-23,2132,635.98,497.38,1355909.36,1025491.94,253494.29
Sub-Saharan Africa,Cameroon,Beverages,Offline,C,2015-04-02,SYN002621,2015-04-15,5692,49.45,30.83,281469.4,181511.92,79623.82
Asia,Malaysia,Fruits,Offline,L,2011-11-18,SYN002622,2011-12-28,6230,9.21,6.93,57378.3,41405.89,15020.56
Sub-Saharan Africa,South Sudan,Personal Care,Offline,C,2014-01-01,SYN002623,2014-01-22,2093,84.74,56.24,177360.81999999998,128521.45,55667.36
Sub-Saharan Africa,Djibouti,Snacks,Online,M,2017-02-20,SYN002624,2017-02-27,6893,152.99,92.67,1054560.07,768899.66,406770.24
Europe,Moldova,Personal Care,Online,L,2016-05-03,SYN002625,2016-05-05,5665,81.39,58.25,461074.35,291000.14,129961.56
Central America and the Caribbean,Grenada,Cereal,Online,C,2012-08-29,SYN002626,2012-09-19,2795,192.85,106.71,539015.75,351769.43,253268.25
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Online,C,2014-06-20,SYN002627,2014-07-02,8217,9.61,7.37,78965.37,57983.04,19441.51
Asia,Brunei,Office Supplies,Online,L,2012-04-05,SYN002628,2012-05-09,5984,662.44,514.09,3964040.9600000004,3548634.11,902041.0
Europe,Russia,Office Supplies,Offline,L,2014-05-01,SYN002629,2014-05-08,1837,668.79,518.35,1228567.23,945239.26,205836.75
Europe,Monaco,Baby Food,Offline,H,2012-06-03,SYN002630,2012-06-05,8795,276.52,158.11,2431993.4,1321737.65,841795.98
Europe,Portugal,Baby Food,Online,H,2015-07-24,SYN002631,2015-08-29,1277,252.35,159.47,322250.95,188005.34,128346.12
Sub-Saharan Africa,Zambia,Snacks,Online,L,2011-01-10,SYN002632,2010-12-29,4137,143.62,99.89,594155.9400000001,413323.83,231317.32
Sub-Saharan Africa,Gabon,Personal Care,Offline,L,2012-07-07,SYN002633,2012-07-07,8672,73.11,56.38,634009.92,477766.24,200228.96
Sub-Saharan Africa,Cape Verde,Clothes,Offline,H,2014-08-08,SYN002634,2014-08-17,4052,111.44,34.83,451554.88,145897.13,307328.66
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Online,C,2014-06-23,SYN002635,2014-07-12,8077,9.66,7.14,78023.82,58684.64,18570.61
Sub-Saharan Africa,Djibouti,Cosmetics,Offline,H,2014-04-11,SYN002636,2014-04-20,6966,454.51,248.13,3166116.66,1977486.28,1119926.19
Sub-Saharan Africa,The Gambia,Household,Offline,L,2012-05-23,SYN002637,2012-06-08,2355,698.55,520.86,1645085.25,1159983.13,406699.26
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,2012-07-16,SYN002638,2012-08-02,7595,165.57,84.98,1257504.15,670285.6,518147.08
Europe,Austria,Cosmetics,Offline,H,2015-02-23,SYN002639,2015-02-25,2749,414.99,269.13,1140807.51,814124.13,509073.96
Sub-Saharan Africa,Mali,Fruits,Online,L,2010-05-10,SYN002640,2010-05-04,5844,9.17,6.75,53589.48,42949.58,14222.15
Sub-Saharan Africa,Madagascar,Clothes,Offline,L,2015-04-26,SYN002641,2015-05-22,6989,107.56,33.38,751736.84,252689.72,511979.85
Central America and the Caribbean,Belize,Clothes,Offline,M,2016-07-21,SYN002642,2016-09-10,5442,109.65,35.57,596715.3,204087.22,390234.75
North America,Mexico,Personal Care,Offline,M,2015-08-03,SYN002643,2015-08-14,5380,79.43,55.84,427333.4,351559.89,144320.1
Central America and the Caribbean,Nicaragua,Beverages,Offline,C,2011-02-14,SYN002644,2011-03-22,8408,47.55,32.23,399800.39999999997,252764.32,131505.82
Sub-Saharan Africa,Lesotho,Fruits,Online,L,2013-08-16,SYN002645,2013-09-15,8864,8.74,7.36,77471.36,67846.78,23516.09
Sub-Saharan Africa,The Gambia,Household,Offline,L,2012-05-30,SYN002646,2012-06-11,2316,681.94,465.35,1579373.04,1143350.72,384075.82
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,2012-07-15,SYN002647,2012-07-30,8385,161.32,98.43,1352668.2,689552.3,487231.49
Central America and the Caribbean,Costa Rica,Personal Care,Offline,L,2017-05-15,SYN002648,2017-05-15,6389,89.35,55.68,570857.1499999999,318933.76,160301.39
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,H,2016-12-11,SYN002649,2016-12-16,914,680.22,560.05,621721.0800000001,560194.31,120272.0
Middle East and North Africa,Pakistan,Cosmetics,Offline,L,2013-07-11,SYN002650,2013-08-21,10139,428.25,270.52,4342026.75,2338448.23,1809299.47
Australia and Oceania,New Zealand,Fruits,Online,H,2014-09-02,SYN002651,2014-10-04,1999,8.81,7.01,17611.190000000002,15557.02,5738.99
Sub-Saharan Africa,Mozambique,Household,Offline,L,2012-02-03,SYN002652,2012-02-15,5780,648.57,456.95,3748734.6,2679666.85,912944.08
Sub-Saharan Africa,Comoros,Cereal,Offline,H,2016-03-26,SYN002653,2016-04-28,946,218.62,121.53,206814.52000000002,110285.61,88695.74
Central America and the Caribbean,Honduras,Snacks,Online,L,2016-06-23,SYN002654,2016-07-30,2239,156.09,93.2,349485.51,204621.0,123531.4
Central America and the Caribbean,Belize,Clothes,Offline,M,2016-07-20,SYN002655,2016-09-13,5023,106.56,38.17,535250.88,202906.25,418798.55
Europe,Norway,Baby Food,Online,L,2014-05-13,SYN002656,2014-07-02,7083,258.3,162.09,1829538.9000000001,1226526.0,717762.0
Australia and Oceania,Australia,Beverages,Offline,H,2014-07-14,SYN002657,2014-07-15,10150,50.13,34.28,508819.5,299927.48,146529.97
North America,Mexico,Personal Care,Offline,M,2015-08-05,SYN002658,2015-08-12,5218,88.94,52.27,464088.92,323872.34,125057.81
Europe,France,Cosmetics,Online,H,2017-05-19,SYN002659,2017-06-07,1870,438.45,294.37,819901.5,467150.7,311760.22
Europe,Lithuania,Office Supplies,Offline,H,2010-10-26,SYN002660,2010-11-10,8025,655.15,530.6,5257578.75,4627710.56,1022665.68
Sub-Saharan Africa,Angola,Household,Offline,M,2011-04-19,SYN002661,2011-04-20,4481,618.56,489.88,2771767.36,1990045.46,684251.66
Sub-Saharan Africa,Djibouti,Cereal,Online,H,2017-05-25,SYN002662,2017-06-23,8606,207.51,121.45,1785831.0599999998,977181.69,747572.07
North America,Mexico,Personal Care,Offline,L,2012-02-22,SYN002663,2012-03-18,6655,88.23,56.93,587170.65,327559.21,157505.61
Australia and Oceania,Australia,Office Supplies,Online,C,2015-10-27,SYN002664,2015-11-30,3089,664.83,464.25,2053659.87,1511947.69,400714.0
Middle East and North Africa,Azerbaijan,Office Supplies,Online,M,2012-06-15,SYN002665,2012-07-21,1806,640.44,558.04,1156634.6400000001,1154348.71,246822.96
Central America and the Caribbean,Costa Rica,Personal Care,Offline,L,2017-05-09,SYN002666,2017-05-19,6105,78.32,54.82,478143.6,333885.78,151991.96
Europe,Switzerland,Personal Care,Online,M,2010-12-18,SYN002667,2011-01-25,258,86.02,60.66,22193.16,15691.57,7304.56
Middle East and North Africa,Iran,Cosmetics,Online,H,2016-11-15,SYN002668,2016-12-09,6483,462.62,286.64,2999165.46,1778475.18,1093976.02
Asia,Mongolia,Personal Care,Offline,C,2014-02-25,SYN002669,2014-02-27,4722,85.67,58.06,404533.74,275119.46,126791.46
Asia,Bangladesh,Clothes,Online,L,2017-01-08,SYN002670,2017-02-24,7684,107.9,35.84,829103.6000000001,299983.84,598694.94
Europe,Slovakia,Vegetables,Online,H,2012-10-05,SYN002671,2012-11-06,174,178.71,93.73,31095.54,15641.61,10858.89
Europe,Lithuania,Office Supplies,Offline,H,2010-10-21,SYN002672,2010-11-21,8226,653.03,525.12,5371824.779999999,4400903.34,1077176.14
Sub-Saharan Africa,Comoros,Cereal,Offline,H,2016-04-01,SYN002673,2016-04-27,969,215.93,116.43,209236.17,110595.58,88760.59
Australia and Oceania,Australia,Office Supplies,Online,C,2015-10-28,SYN002674,2015-12-01,2747,659.88,560.41,1812690.36,1520221.59,358451.0
Central America and the Caribbean,Nicaragua,Beverages,Offline,C,2011-02-01,SYN002675,2011-03-22,7922,48.88,34.56,387227.36000000004,263677.4,116123.89
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,M,2015-07-17,SYN002676,2015-08-24,5573,83.85,57.54,467296.05,374673.93,165638.13
Sub-Saharan Africa,Kenya,Vegetables,Online,L,2012-03-25,SYN002677,2012-04-01,6280,145.47,85.47,913551.6,572576.11,403232.17
Sub-Saharan Africa,Djibouti,Cereal,Online,H,2017-05-26,SYN002678,2017-06-21,8335,200.51,105.86,1671250.8499999999,947113.33,742668.05
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,M,2011-11-26,SYN002679,2012-01-12,3193,690.53,560.49,2204862.29,1837623.68,410569.68
Sub-Saharan Africa,Senegal,Cereal,Online,H,2014-04-22,SYN002680,2014-05-24,6549,205.78,110.32,1347653.22,739598.4,580782.99
Middle East and North Africa,Azerbaijan,Office Supplies,Online,M,2012-06-13,SYN002681,2012-07-30,1903,725.01,536.49,1379694.03,1027188.06,268072.24
Europe,Spain,Household,Offline,L,2012-10-16,SYN002682,2012-11-29,4806,657.02,521.25,3157638.12,2328394.78,806943.97
Central America and the Caribbean,Nicaragua,Beverages,Offline,C,2011-02-03,SYN002683,2011-03-20,7166,47.21,32.49,338306.86,248753.51,120388.09
Middle East and North Africa,Libya,Fruits,Online,L,2015-08-07,SYN002684,2015-09-28,667,8.6,7.17,5736.2,4703.56,1539.96
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,H,2013-09-14,SYN002685,2013-10-21,7504,9.59,6.47,71963.36,56190.65,17182.79
Asia,Turkmenistan,Household,Offline,L,2010-12-24,SYN002686,2011-01-23,3452,663.53,554.02,2290505.56,1810551.93,635048.47
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,Online,C,2011-05-26,SYN002687,2011-07-16,5884,46.26,33.0,272193.83999999997,191528.98,94639.58
Sub-Saharan Africa,Niger,Personal Care,Online,H,2017-03-18,SYN002688,2017-04-02,3255,86.61,53.29,281915.55,168507.81,76847.33
Australia and Oceania,Federated States of Micronesia,Beverages,Online,C,2014-10-24,SYN002689,2014-11-16,9386,47.07,31.06,441799.02,301753.36,146928.36
North America,Mexico,Personal Care,Offline,L,2012-02-22,SYN002690,2012-03-23,6568,81.33,53.81,534175.44,348319.87,167422.6
Sub-Saharan Africa,Kenya,Vegetables,Online,L,2012-03-25,SYN002691,2012-03-31,6423,157.35,87.18,1010659.0499999999,540755.35,407014.45
Europe,Norway,Beverages,Offline,C,2014-07-18,SYN002692,2014-08-03,5259,43.97,32.73,231238.22999999998,165892.08,82051.5
Middle East and North Africa,Azerbaijan,Office Supplies,Online,M,2012-06-16,SYN002693,2012-07-25,1905,649.16,523.06,1236649.8,1163893.43,229639.95
Middle East and North Africa,Saudi Arabia,Cereal,Online,M,2013-03-20,SYN002694,2013-03-29,3924,185.06,115.96,726175.4400000001,496359.04,369822.33
Sub-Saharan Africa,Madagascar,Clothes,Offline,L,2015-04-18,SYN002695,2015-06-01,7664,106.54,35.4,816522.56,257361.97,559756.53
Europe,France,Cosmetics,Online,H,2017-05-29,SYN002696,2017-06-02,1733,432.04,270.65,748725.3200000001,478959.19,324215.65
Middle East and North Africa,Libya,Fruits,Online,L,2015-08-10,SYN002697,2015-09-27,741,9.59,6.77,7106.19,4799.85,1593.15
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,2012-07-18,SYN002698,2012-07-25,8404,153.84,90.08,1292871.36,713184.06,521672.57
Middle East and North Africa,Kuwait,Fruits,Online,M,2012-05-04,SYN002699,2012-05-15,558,9.5,7.63,5301.0,4021.15,1309.6
Sub-Saharan Africa,Mauritania,Office Supplies,Offline,C,2012-01-06,SYN002700,2012-01-06,1275,626.84,506.8,799221.0,636185.19,157157.88
Europe,Moldova,Personal Care,Online,L,2016-05-09,SYN002701,2016-05-07,5259,84.33,60.04,443491.47,287700.03,128233.91
Australia and Oceania,Kiribati,Fruits,Online,M,2014-10-13,SYN002702,2014-11-07,5381,9.25,7.47,49774.25,35695.69,13113.05
Australia and Oceania,Tuvalu,Baby Food,Offline,H,2010-05-21,SYN002703,2010-06-26,9710,265.01,151.52,2573247.1,1434494.73,1014666.54
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,C,2012-06-09,SYN002704,2012-07-01,3553,105.56,34.92,375054.68,124307.09,249847.72
Central America and the Caribbean,Grenada,Cereal,Online,C,2012-08-26,SYN002705,2012-09-10,2938,196.34,113.83,576846.92,345212.23,231609.8
Sub-Saharan Africa,Sao Tome and Principe,Beverages,Offline,C,2011-01-10,SYN002706,2011-01-19,9142,46.34,29.18,423640.28,304775.17,137879.37
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,M,2011-11-22,SYN002707,2012-01-13,3248,650.64,558.37,2113278.7199999997,1806520.15,423136.23
Sub-Saharan Africa,Sierra Leone,Vegetables,Offline,C,2016-05-29,SYN002708,2016-07-04,1463,156.02,97.61,228257.26,144174.78,94021.18
Sub-Saharan Africa,Lesotho,Fruits,Online,L,2013-08-19,SYN002709,2013-09-16,10232,9.2,6.79,94134.4,62565.34,21328.16
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,Online,C,2011-05-21,SYN002710,2011-07-19,6216,50.76,32.18,315524.16,168454.81,80458.62
Sub-Saharan Africa,Cape Verde,Clothes,Offline,H,2014-07-31,SYN002711,2014-08-15,4395,104.4,31.57,458838.0,153672.03,324255.72
North America,Mexico,Personal Care,Offline,L,2012-02-10,SYN002712,2012-03-19,6096,80.62,59.9,491459.52,333189.85,153614.03
Sub-Saharan Africa,Sierra Leone,Vegetables,Offline,C,2016-05-31,SYN002713,2016-06-26,1507,157.71,89.14,237668.97,136188.48,91532.88
Sub-Saharan Africa,The Gambia,Cereal,Offline,H,2012-06-03,SYN002714,2012-06-09,1989,195.71,108.38,389267.19,231467.03,188514.32
Australia and Oceania,Australia,Beverages,Offline,H,2014-07-12,SYN002715,2014-07-07,9345,45.59,31.14,426038.55000000005,289338.42,143486.89
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,Online,C,2011-05-28,SYN002716,2011-07-17,5560,45.92,33.31,255315.2,197437.16,89540.26
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,L,2013-02-06,SYN002717,2013-02-06,5203,688.81,501.11,3583878.4299999997,2564424.5,665868.72
Sub-Saharan Africa,South Sudan,Personal Care,Offline,C,2013-12-25,SYN002718,2014-01-25,2135,73.39,55.06,156687.65,121482.66,52950.88
Europe,Norway,Baby Food,Online,L,2014-05-20,SYN002719,2014-06-23,7239,241.33,163.14,1746987.87,1244943.0,720354.0
Europe,Austria,Cosmetics,Offline,H,2015-02-19,SYN002720,2015-02-23,2585,439.36,249.38,1135745.6,801593.84,495214.67
Asia,Kyrgyzstan,Vegetables,Online,H,2011-06-20,SYN002721,2011-07-11,123,150.72,89.13,18538.56,11928.55,7520.05
Europe,Albania,Clothes,Online,C,2010-02-01,SYN002722,2010-03-21,2329,106.52,32.97,248085.08,76804.85,175236.51
Asia,Malaysia,Fruits,Offline,L,2011-11-04,SYN002723,2011-12-23,6100,9.0,7.31,54900.0,44306.14,15183.63
Europe,Monaco,Baby Food,Offline,H,2012-05-26,SYN002724,2012-06-06,7938,266.91,157.92,2118731.58,1361415.62,772245.06
Europe,Bulgaria,Office Supplies,Online,M,2012-02-19,SYN002725,2012-02-21,4177,678.73,551.86,2835055.21,2115715.88,474149.93
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,Online,C,2011-05-22,SYN002726,2011-07-12,5968,44.74,31.54,267008.32,181870.46,96949.17
Sub-Saharan Africa,Cameroon,Office Supplies,Online,M,2011-11-06,SYN002727,2011-11-09,5684,660.36,550.41,3753486.24,2761019.48,659730.43
Europe,Monaco,Baby Food,Offline,H,2012-06-01,SYN002728,2012-06-07,8625,262.52,143.78,2264235.0,1398137.23,858746.67
Middle East and North Africa,Kuwait,Fruits,Online,M,2012-04-28,SYN002729,2012-05-12,524,9.67,7.01,5067.08,3674.7,1210.71
North America,Mexico,Personal Care,Offline,L,2012-02-17,SYN002730,2012-03-18,6587,84.5,59.05,556601.5,373063.68,165988.6
Europe,Norway,Beverages,Offline,C,2014-07-20,SYN002731,2014-08-01,5146,47.18,30.21,242788.28,167224.24,80591.9
Australia and Oceania,Solomon Islands,Baby Food,Online,C,2015-02-09,SYN002732,2015-02-15,2878,263.13,157.07,757288.14,426803.24,285096.49
Sub-Saharan Africa,Comoros,Cereal,Offline,H,2016-04-01,SYN002733,2016-04-29,944,203.3,116.05,191915.2,112814.62,84029.72
Europe,Moldova,Personal Care,Online,L,2016-05-04,SYN002734,2016-05-07,5003,82.56,55.58,413047.68,310989.91,130751.95
Central America and the Caribbean,Nicaragua,Beverages,Offline,C,2011-02-02,SYN002735,2011-03-26,8099,49.76,30.73,403006.24,252562.09,127260.91
Australia and Oceania,Tuvalu,Baby Food,Offline,H,2010-05-22,SYN002736,2010-07-03,10449,251.94,159.5,2632521.06,1461942.85,988021.23
North America,Mexico,Personal Care,Offline,L,2012-02-19,SYN002737,2012-03-19,6208,85.24,56.76,529169.9199999999,376242.58,153154.06
Europe,France,Cosmetics,Online,H,2017-05-22,SYN002738,2017-06-01,1807,443.16,273.17,800790.12,478903.43,316684.25
Sub-Saharan Africa,Cameroon,Office Supplies,Online,M,2011-11-13,SYN002739,2011-11-16,5192,656.18,487.27,3406886.5599999996,2991059.29,785678.43
Sub-Saharan Africa,Sao Tome and Principe,Beverages,Offline,C,2011-01-20,SYN002740,2011-01-20,8583,48.18,31.59,413528.94,296221.89,142118.07
Sub-Saharan Africa,Gabon,Personal Care,Offline,L,2012-07-08,SYN002741,2012-07-04,8788,87.74,52.34,771059.12,486025.56,221369.81
Australia and Oceania,East Timor,Meat,Online,L,2012-07-24,SYN002742,2012-09-12,5484,485.28,400.14,2661275.52,2237217.67,335073.05
Europe,United Kingdom,Household,Online,L,2011-12-30,SYN002743,2012-02-20,268,657.12,507.98,176108.16,149075.55,44592.35
Middle East and North Africa,Saudi Arabia,Cereal,Online,M,2013-03-28,SYN002744,2013-04-04,3763,207.87,113.43,782214.81,505309.34,336722.98
Europe,Slovenia,Beverages,Offline,C,2016-10-21,SYN002745,2016-11-29,4649,44.19,32.36,205439.31,139338.43,71571.73
Central America and the Caribbean,Honduras,Snacks,Online,L,2016-06-24,SYN002746,2016-07-28,2131,150.79,94.88,321333.49,192482.0,121947.65
North America,Mexico,Personal Care,Offline,M,2015-08-01,SYN002747,2015-08-06,5814,81.22,55.37,472213.08,300967.28,149986.86
Europe,United Kingdom,Household,Online,L,2012-01-07,SYN002748,2012-02-10,275,651.94,508.39,179283.50000000003,135520.22,42838.72
Australia and Oceania,Australia,Beverages,Offline,H,2014-07-07,SYN002749,2014-07-14,10038,47.13,32.81,473090.94,311365.63,142109.97
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,M,2011-11-19,SYN002750,2012-01-02,3287,683.39,491.84,2246302.93,1679149.28,424276.77
Australia and Oceania,Australia,Office Supplies,Online,C,2015-10-24,SYN002751,2015-11-26,2543,677.33,530.45,1722450.1900000002,1453362.46,336454.0
Sub-Saharan Africa,The Gambia,Meat,Online,M,2017-01-20,SYN002752,2017-01-26,4456,440.0,363.5,1960640.0,1668711.33,269470.6
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,C,2012-06-15,SYN002753,2012-07-02,3452,103.95,35.05,358835.4,126286.29,262744.65
North America,Mexico,Household,Offline,C,2014-10-30,SYN002754,2014-12-15,7134,679.34,495.67,4846411.5600000005,3432592.73,1080896.6
Middle East and North Africa,Libya,Clothes,Offline,H,2010-10-24,SYN002755,2010-11-17,5957,103.74,36.0,617979.1799999999,227258.58,429785.5
Sub-Saharan Africa,The Gambia,Meat,Online,M,2017-01-18,SYN002756,2017-01-23,4727,412.81,380.57,1951352.87,1891271.84,252909.28
Sub-Saharan Africa,The Gambia,Baby Food,Offline,M,2014-02-04,SYN002757,2014-03-18,5650,237.62,151.2,1342553.0,901197.85,512885.6
Europe,San Marino,Baby Food,Online,L,2013-06-28,SYN002758,2013-06-25,4912,267.01,151.49,1311553.1199999999,746556.0,465853.0
Sub-Saharan Africa,Zambia,Snacks,Online,L,2011-01-01,SYN002759,2011-01-01,3740,170.1,98.35,636174.0,363881.05,224525.63
Asia,Malaysia,Fruits,Offline,L,2011-11-18,SYN002760,2011-12-27,6550,8.85,7.16,57967.5,45394.55,15072.73
Sub-Saharan Africa,Djibouti,Cosmetics,Offline,H,2014-04-05,SYN002761,2014-04-19,8003,454.96,261.23,3641044.88,1659385.77,1192771.82
Middle East and North Africa,Iran,Cosmetics,Online,H,2016-11-10,SYN002762,2016-12-13,6965,380.22,265.19,2648232.3000000003,1681892.49,1144998.38
Middle East and North Africa,Kuwait,Fruits,Online,M,2012-04-30,SYN002763,2012-05-25,532,8.93,6.96,4750.76,4212.16,1255.29
Europe,Iceland,Cosmetics,Online,C,2016-12-25,SYN002764,2016-12-28,8098,411.14,263.85,3329411.7199999997,2511899.08,1554882.22
